"text","explanation","type","difficulty","isPublic","topicPoolId","mediaId","userId"
"Was versteht man in der Kombinatorik unter einer Variation ohne Wiederholung?","Eine Variation ohne Wiederholung ist eine Anordnung von Objekten, bei der die Reihenfolge wichtig ist und kein Objekt mehrfach verwendet wird.","MULTIPLE_CHOICE","1","true","7","","1"
"Was ist 2 + 2?","Einfache Addition","FREETEXT","1","true","1","","1"
"Was beschreibt das 1. Newtonsche Gesetz?","Trägheitsprinzip","MULTIPLE_CHOICE","2","true","2","14","2"
"Welche Base paart sich mit Adenin in der DNA?","Thymin ist komplementär zu Adenin","MULTIPLE_CHOICE","2","true","3","15","3"
"Was ist die Ableitung von x^2?","Grundregel der Ableitung","FREETEXT","1","false","4","","4"
"Was passiert bei isobarer Expansion?","Druck bleibt konstant","MULTIPLE_CHOICE","3","true","5","16","5"
"Wie viele verschiedene Permutationen (Anordnungen) gibt es von 3 verschiedenen Büchern?","Hierbei ist die Reihenfolge wichtig und es gibt keine Wiederholung.","MULTIPLE_CHOICE","1","true","7","17","1"

"Welches Diagramm wird primär zur Modellierung der funktionalen Anforderungen genutzt?","Use-Case-Diagramme visualisieren die Interaktion zwischen Akteuren und dem System.","MULTIPLE_CHOICE",2,true,22,null,3
"Nenne einen Fachbegriff für die Untersuchung des Ist-Zustands in der Analyse.","Begriffe wie Systemanalyse oder Ist-Aufnahme sind hier zentral.","FREETEXT",2,true,22,null,1
"Was ist ein Hauptziel der Design-Phase in der Softwareentwicklung?","Design definiert die Architektur und sorgt für Entkopplung und Wartbarkeit.","MULTIPLE_CHOICE",2,true,23,null,2
"Welcher Begriff beschreibt die Fähigkeit der Software, bei Fehlern weiterzufunktionieren?","Robustheit und Fehlertoleranz sind Kernaspekte der Softwarequalität.","MULTIPLE_CHOICE",2,true,24,null,4
"Welches Vorgehensmodell ist für seine streng sequenziellen Phasen bekannt?","Das Wasserfallmodell lässt im Standard keine Rücksprünge in vorherige Phasen zu.","MULTIPLE_CHOICE",1,true,25,null,2
"Was kennzeichnet den 'Kritischen Pfad' in der Netzplantechnik?","Verzögerungen auf dem kritischen Pfad führen direkt zur Verzögerung des Gesamtprojekts.","MULTIPLE_CHOICE",3,true,26,null,3
"Welches Werkzeug dient der visuellen Überwachung des Projektfortschritts?","Die Meilensteintrendanalyse visualisiert Terminabweichungen über die Zeit.","MULTIPLE_CHOICE",3,true,27,null,1

