text,isCorrect,questionId
"Eine Auswahl von Objekten, bei der Reihenfolge egal ist und Wiederholung erlaubt ist.",false,1
"Eine Auswahl von Objekten, bei der Reihenfolge wichtig ist und Wiederholung erlaubt ist.",false,1
"Eine Auswahl von Objekten, bei der Reihenfolge wichtig ist und keine Wiederholung erlaubt ist.",true,1
"Eine Auswahl von Objekten, bei der Reihenfolge egal ist und keine Wiederholung erlaubt ist.",false,1

"4",true,2
"vier",true,2

"Trägheit",true,3
"Ein Körper verharrt im Zustand der Ruhe oder gleichförmigen Bewegung",true,3
"Kraft ist Masse mal Beschleunigung",false,3
"Das zweite Gesetz von Newton",false,3

"Thymin",true,4
"T",true,4
"Guanin",false,4
"Cytosin",false,4

"2x",true,5
"Die Ableitung von x^2 ist 2x",true,5

"Druck bleibt konstant",true,6
"Temperatur bleibt konstant",false,6
"Energie steigt",false,
"Volumen bleibt konstant",false,6

"3",false,7
"6",true,7
"9",false,7
"12",false,7

"Use-Case-Diagramm",true,8
"Klassendiagramm",false,8
"Zustandsdiagramm",false,8
"Verteilungsdiagramm",false,8
"Systemanalyse",true,9
"Ist-Aufnahme",true,9
"Anforderungsanalyse",true,9
"Requirements Engineering",true,9
"Definition der Systemarchitektur",true,10
"Installation der Datenbank-Hardware",false,10
"Schreiben des Benutzerhandbuchs",false,10
"Akquise von neuen Projektmitarbeitern",false,10
"Robustheit",true,11
"Portabilität",false,11
"Konformität",false,11
"Modularität",false,11
"Wasserfallmodell",true,12
"Scrum",false,12
"Extreme Programming",false,12
"Kanban",false,12
"Vorgangskette ohne Zeitpuffer",true,13
"Die Liste aller Meilensteine",false,13
"Der Weg mit den geringsten Kosten",false,13
"Die Summe aller optionalen Aufgaben",false,13
"Meilensteintrendanalyse",true,14
"Burn-Down-Chart",false,14
"Ishikawa-Diagramm",false,14
"Pareto-Analyse",false,14
"Antwortzeitverhalten und Datensicherheit",true,15
"Berechnung der Mehrwertsteuer",false,15
"Eingabe eines Benutzernamens",false,15
